Game started!

 White: Crowny-I
 Black: Crowny-I
 Thu Mar  5 17:55:47 2020

1. e3d3, b3c3
2. f1c6, b1b7
3. e5e3, a5b5
4. e3e2, c3c2
5. f3c9, a3a4
6. c6d5, a4a3
7. e2f1, a3a4
8. e1d2, a4a3
9. f1e1, a3a4
10. g1f2, a4a3
11. f2f1, a3a4
12. d5a10, b5a6
13. a10a11, a6a7
14. a11d5, a4a6
15. d5a11, a6a4
16. a11c6, a4a6
17. c9e5, a6c6
18. e5c6, b7b3
19. f1e2, a1a2
20. e2f1, a2a1
21. e1e2, a1a2
22. c6c8, b3b5
23. d2e1, a2a1
24. e1d1, a1a2
25. d1d2, a2a1
26. d2e1, a1a2
27. d3d4, a2a1
28. d4d5, b5b4
29. e1d3, a1a2
30. d5d4, b4b5
31. d3d2, a2a1
32. d4d5, b5b4
33. d5d4, b4b5
34. d2e1, a1a2
35. e1d3, a2a1
36. d4d5, a1a2
37. d3d4, b5b4
38. e2e1, a2a1
39. d4d3, a1a2
40. f1e2, a2a1
41. e2e3, a1a2
42. e3d4, a2a1
43. e1d1, a1a2
44. d1d2, a2a1
45. d4e3, a1a2
46. e3e2, a2a1
47. e2e1, a1a2
48. d5d4, b4b5
49. e1e2, a2a1
50. e2e1, a1a2
51. d4e3, a2a1
52. e3d5, a1a2
53. d3d4, b5b4
54. d4d3, b4b5
55. d5d4, a2a1
56. e1e2, a1a2
57. e2f1, a2a1
58. d4e3, a1a2
59. f1e2, a2a1
60. e2e1, a1a2
61. d3d4, a2a1
62. d4d5, b5b4
63. d2d3, a1a2
64. e1e2, a2a1
65. e2f1, a1a2
66. d5d4, b4b5
67. d4d5, b5b4
68. e3d4, a2a1
69. f1e2, a1a2
70. e2e1, a2a1
71. e1d2, a1a2
72. d4e3, a2a1
73. d5d4, b4b5
74. d4d5, b5b4
75. c8c9, b4b6
76. c9c8, b6b4
77. d3d4, b4b6
78. d4d3, b6b4
79. d3c4, b4b5
80. c4c5, b5b4
81. d5d4, a1a2
82. c5c4, b4b5
83. c4d3, a2a1
84. d2e1, a1a2
85. d4d5, b5b4
86. d5d4, b4b5
87. e1e2, a2a1
88. d4d5, b5b4
89. d5d4, b4b5
90. e2f1, a1a2
91. e3e1, a2a1
92. f1e2, a1a2
93. e2e3, a2a1
94. e1e2, a1a2
95. e2f1, a2a1
96. e3e2, a1a2
97. e2e1, a2a1
98. d4d5, a1a2
99. d5c6, b5b4
100. c8d7, c2d1
101. e1e2, a2a1
102. d3c4, d1d2
103. f1f2, b4b5
104. c4c5, b5b4
105. c5c4, b4b5
106. c4c5, b5b4
107. c5c4, b4b5
108. c4c5, b5b4
109. c5c4, b4b5
110. c4c5, b5b4
111. c5c4, b4b5
112. c4c5, b5b4
113. c5c4, b4b5
114. c4c5, b5b4
115. c5c4, b4b5
116. c4c5, b5b4
117. c5c4, b4b5
118. c4c5, b5b4
119. c5c4, b4b5
120. c4c5, b5b4
121. c5c4, b4b5
122. c4c5, b5b4
123. c5c4, b4b5
124. c4c5, b5b4
125. c5c4, b4b5
126. c4c5, b5b4
127. c5c4, b4b5
128. c4c5, b5b4
129. c5c4, b4b5
130. c4c5, b5b4
131. c5c4, b4b5
132. c4c5, b5b4
133. c5c4, b4b5
134. c4c5, b5b4
135. c5c4, b4b5
136. c4c5, b5b4
137. c5c4, b4b5
138. c4c5, b5b4
139. c5c4, b4b5
140. c4c5, b5b4
141. c5c4, b4b5
142. c4c5, b5b4
143. c5c4, b4b5
144. c4c5, b5b4
145. c5c4, b4b5
146. c4c5, b5b4
147. c5c4, b4b5
148. c4c5, b5b4
149. c5c4, 
