Game started!
[game_record_23F2020.cor]

 White: Crowny-I
 Black: Crowny-II
 Sun Mar  8 20:25:39 2020

1. d7b10, a2a12
2. b8a8, a12a8
3. b10f2, a13f2
4. g1f2, a8c8
5. f2f1, c8g1
6. f1++, g1a12
7. d3d4, a12a13
8. d4d3, a13a10
9. d2d1, a10a12
10. d3d4, a12a13
11. d4d3, a13a10
12. d3d2, a10a12
13. d2d3, b3b4
14. d3d4, a12a13
15. d4d3, a13a10
16. d3d2, a10a12
17. d2d3, a12a13
18. d3d4, b4b5
19. d4d3, a13a10
20. d3d2, a10a12
21. d2d3, a12a13
22. d3d4, b5b6
23. d4d3, a13a10
24. d3d2, a10a12
25. d2d3, a12a13
26. d3d4, b6b7
27. d4d3, a13a10
28. d3d2, a10a12
29. d2d3, a12a13
30. d3d4, b7b8
31. d4d3, a13a12
32. d3d4, b8b9
33. d4d3, a12a13
34. d3d4, c3b4
35. d4d3, a13a12
36. d3d4, b9b8
37. d4d3, a12a13
38. d3d4, b8b7
39. d4d3, a13a10
40. d3d2, a10a12
41. d2d3, a12a13
42. d3d4, b7b6
43. d4d3, a13a10
44. d3d2, a10a12
45. d2d3, a12a13
46. d3d4, b6b5
47. d4d3, a13a10
48. d3d2, a10a12
49. d2d3, a12a13
50. d3d4, b4b3
51. d4d3, a13a10
52. d3d2, a10a12
53. d2d3, a12a13
54. d3d4, b5b4
55. d4d3, a13a10
56. d3d2, a10a12
57. d2d3, a12a13
58. d3d4, b3b1
59. d4d3, a13a10
60. d3d2, a10a12
61. d2d3, a12a13
62. d3d4, b4c3
63. d4d3, a13a10
64. d3d2, a10b8
65. d2d3, b1a2
66. d3d2, b8b10
67. d2d3, c3c4
68. d3d4, a2a3
69. d4d3, a1a2
70. d3d4, c4c3
71. d4d3, a2a1
72. d3d4, a3a5
73. d4d3, a1a2
74. d3d4, a2a3
75. d4d3, a3a4
76. d3d4, c3c4
77. d4d3, a4a3
78. d3d4, a3a2
79. d4d3, a2a1
80. d3d4, a5a7
81. d4d3, a1a2
82. d3d4, a2a3
83. d4d3, a3a4
84. d3d4, a4a5
85. d4d3, a5a6
86. d3d4, c4c3
87. d4d3, a6a5
88. d3d4, a5a4
89. d4d3, a4a3
90. d3d4, a3a2
91. d4d3, a2a1
92. d3d4, a7a6
93. d4d3, a1a2
94. d3d4, a2a3
95. d4d3, a3a4
96. d3d4, a4a5
97. d4d3, b10b8
98. d3d2, a5a4
99. d2d3, a4a3
100. d3d2, a3a2
101. d2d3, a2a1
102. d3d2, c3c4
103. d2d3, a1a2
104. d3d2, a2a3
105. d2d3, a3a4
106. d3d2, a4a5
107. d2d3, b8b10
108. d3d4, a5a4
109. d4d3, a4a3
110. d3d4, a3a2
111. d4d3, a2a1
112. d3d4, a6a5
113. d4d3, a1a2
114. d3d4, a2a3
115. d4d3, a3a4
116. d3d4, c4c3
117. d4d3, a4a3
118. d3d4, a3a2
119. d4d3, a2a1
120. d3d4, a5a7
121. d4d3, a1a2
122. d3d4, a2a3
123. d4d3, a3a4
124. d3d4, a4a5
125. d4d3, a5a6
126. d3d4, c3c4
127. d4d3, a6a5
128. d3d4, a5a4
129. d4d3, a4a3
130. d3d4, a3a2
131. d4d3, a2a1
132. d3d4, a7a6
133. d4d3, a1a2
134. d3d4, a2a3
135. d4d3, a3a4
136. d3d4, a4a5
137. d4d3, b10b8
138. d3d2, a5a4
139. d2d3, a4a3
140. d3d2, a3a2
141. d2d3, a2a1
142. d3d2, c4c3
143. d2d3, a1a2
144. d3d2, a2a3
145. d2d3, a3a4
146. d3d2, a4a5
147. d2d3, b8b10
148. d3d4, a5a4
149. d4d3, a4a3
150. d3d4, a3a2
151. d4d3, a2a1
152. d3d4, c5c4
153. d4d3, a1a2
154. d3d4, a2a3
155. d4d3, a3a4
156. d3d4, a4a5
157. d4d3, b10b8
158. d3d2, b8d5
159. e1f1, d5f1
160. d2e1, f1e1
161. d1c2, e1c2

0 - 1

End of the game: Victory (no pieces left)
