player_1,rnd_1,player_2,rnd_2,board,n_rounds
crowny-ii,0.025,crowny-iii,0.025,,5
crowny-ii,0.025,crowny-iii,0.2,,5
crowny-ii,0.025,crowny-iii,1.6,,5
crowny-ii,0.025,crowny-iv,0.025,,5
crowny-ii,0.025,crowny-iv,0.2,,5
crowny-ii,0.025,crowny-iv,1.6,,5
crowny-ii,0.025,crowny-v,0.025,,5
crowny-ii,0.025,crowny-v,0.2,,5
crowny-ii,0.025,crowny-v,1.6,,5
crowny-ii,0.025,crowny-vi,0.025,,5
crowny-ii,0.025,crowny-vi,0.2,,5
crowny-ii,0.025,crowny-vi,1.6,,5
crowny-ii,0.2,crowny-iii,0.025,,5
crowny-ii,0.2,crowny-iii,0.2,,5
crowny-ii,0.2,crowny-iii,1.6,,5
crowny-ii,0.2,crowny-iv,0.025,,5
crowny-ii,0.2,crowny-iv,0.2,,5
crowny-ii,0.2,crowny-iv,1.6,,5
crowny-ii,0.2,crowny-v,0.025,,5
crowny-ii,0.2,crowny-v,0.2,,5
crowny-ii,0.2,crowny-v,1.6,,5
crowny-ii,0.2,crowny-vi,0.025,,5
crowny-ii,0.2,crowny-vi,0.2,,5
crowny-ii,0.2,crowny-vi,1.6,,5
crowny-ii,1.6,crowny-iii,0.025,,5
crowny-ii,1.6,crowny-iii,0.2,,5
crowny-ii,1.6,crowny-iii,1.6,,5
crowny-ii,1.6,crowny-iv,0.025,,5
crowny-ii,1.6,crowny-iv,0.2,,5
crowny-ii,1.6,crowny-iv,1.6,,5
crowny-ii,1.6,crowny-v,0.025,,5
crowny-ii,1.6,crowny-v,0.2,,5
crowny-ii,1.6,crowny-v,1.6,,5
crowny-ii,1.6,crowny-vi,0.025,,5
crowny-ii,1.6,crowny-vi,0.2,,5
crowny-ii,1.6,crowny-vi,1.6,,5
