player_1,rnd_1,player_2,rnd_2,board,n_rounds,score_1,score_2
crowny-ii,1.6,crowny-v,0.025,,5,0,1
crowny-v,0.025,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-v,0.025,,5,0,1
crowny-v,0.025,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-v,0.025,,5,0,1
crowny-v,0.025,crowny-ii,1.6,,5,0,1
crowny-ii,1.6,crowny-v,0.025,,5,0,1
crowny-v,0.025,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-v,0.025,,5,0,1
crowny-v,0.025,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-v,0.2,,5,1,0
crowny-v,0.2,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-v,0.2,,5,0,1
crowny-v,0.2,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-v,0.2,,5,0,1
crowny-v,0.2,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-v,0.2,,5,0,1
crowny-v,0.2,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-v,0.2,,5,0,1
crowny-v,0.2,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-v,1.6,,5,1,0
crowny-v,1.6,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-v,1.6,,5,0,1
crowny-v,1.6,crowny-ii,1.6,,5,0,1
crowny-ii,1.6,crowny-v,1.6,,5,0,1
crowny-v,1.6,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-v,1.6,,5,0,1
crowny-v,1.6,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-v,1.6,,5,1,0
crowny-v,1.6,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-vi,0.025,,5,0,1
crowny-vi,0.025,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-vi,0.025,,5,0,1
crowny-vi,0.025,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-vi,0.025,,5,0,1
crowny-vi,0.025,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-vi,0.025,,5,0,1
crowny-vi,0.025,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-vi,0.025,,5,0,1
crowny-vi,0.025,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-vi,0.2,,5,0,1
crowny-vi,0.2,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-vi,0.2,,5,0,1
crowny-vi,0.2,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-vi,0.2,,5,0,1
crowny-vi,0.2,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-vi,0.2,,5,0,1
crowny-vi,0.2,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-vi,0.2,,5,0,1
crowny-vi,0.2,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-vi,1.6,,5,0,1
crowny-vi,1.6,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-vi,1.6,,5,0,1
crowny-vi,1.6,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-vi,1.6,,5,0,1
crowny-vi,1.6,crowny-ii,1.6,,5,0,1
crowny-ii,1.6,crowny-vi,1.6,,5,0,1
crowny-vi,1.6,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-vi,1.6,,5,0,1
crowny-vi,1.6,crowny-ii,1.6,,5,1,0
