player_1,rnd_1,player_2,rnd_2,board,n_rounds,score_1,score_2
crowny-i,0,crowny-i,1.6,,5,0.5,0.5
crowny-i,1.6,crowny-i,0,,5,0,1
crowny-i,0,crowny-i,1.6,,5,0.5,0.5
crowny-i,1.6,crowny-i,0,,5,0,1
crowny-i,0,crowny-i,1.6,,5,0.5,0.5
crowny-i,1.6,crowny-i,0,,5,0,1
crowny-i,0,crowny-i,1.6,,5,0.5,0.5
crowny-i,1.6,crowny-i,0,,5,0,1
crowny-i,0,crowny-i,1.6,,5,0.5,0.5
crowny-i,1.6,crowny-i,0,,5,0,1
crowny-ii,0,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-ii,0,,5,0,1
crowny-ii,0,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-ii,0,,5,0,1
crowny-ii,0,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-ii,0,,5,0,1
crowny-ii,0,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-ii,0,,5,0,1
crowny-ii,0,crowny-ii,1.6,,5,1,0
crowny-ii,1.6,crowny-ii,0,,5,0,1
crowny-iii,0,crowny-iii,1.6,,5,1,0
crowny-iii,1.6,crowny-iii,0,,5,0,1
crowny-iii,0,crowny-iii,1.6,,5,0.5,0.5
crowny-iii,1.6,crowny-iii,0,,5,0.5,0.5
crowny-iii,0,crowny-iii,1.6,,5,0.5,0.5
crowny-iii,1.6,crowny-iii,0,,5,0,1
crowny-iii,0,crowny-iii,1.6,,5,0.5,0.5
crowny-iii,1.6,crowny-iii,0,,5,0,1
crowny-iii,0,crowny-iii,1.6,,5,1,0
crowny-iii,1.6,crowny-iii,0,,5,0,1
crowny-iv,0,crowny-iv,1.6,,5,1,0
crowny-iv,1.6,crowny-iv,0,,5,0,1
crowny-iv,0,crowny-iv,1.6,,5,1,0
crowny-iv,1.6,crowny-iv,0,,5,0,1
crowny-iv,0,crowny-iv,1.6,,5,1,0
crowny-iv,1.6,crowny-iv,0,,5,0,1
crowny-iv,0,crowny-iv,1.6,,5,1,0
crowny-iv,1.6,crowny-iv,0,,5,0,1
crowny-iv,0,crowny-iv,1.6,,5,1,0
crowny-iv,1.6,crowny-iv,0,,5,0,1
crowny-v,0,crowny-v,1.6,,5,1,0
crowny-v,1.6,crowny-v,0,,5,0,1
crowny-v,0,crowny-v,1.6,,5,1,0
crowny-v,1.6,crowny-v,0,,5,0,1
crowny-v,0,crowny-v,1.6,,5,1,0
crowny-v,1.6,crowny-v,0,,5,0,1
crowny-v,0,crowny-v,1.6,,5,0,1
crowny-v,1.6,crowny-v,0,,5,0,1
crowny-v,0,crowny-v,1.6,,5,1,0
crowny-v,1.6,crowny-v,0,,5,0,1
crowny-vi,0,crowny-vi,1.6,,5,1,0
crowny-vi,1.6,crowny-vi,0,,5,0,1
crowny-vi,0,crowny-vi,1.6,,5,1,0
crowny-vi,1.6,crowny-vi,0,,5,0.5,0.5
crowny-vi,0,crowny-vi,1.6,,5,1,0
crowny-vi,1.6,crowny-vi,0,,5,0,1
crowny-vi,0,crowny-vi,1.6,,5,0.5,0.5
crowny-vi,1.6,crowny-vi,0,,5,0,1
crowny-vi,0,crowny-vi,1.6,,5,1,0
crowny-vi,1.6,crowny-vi,0,,5,0,1
