player_1,rnd_1,player_2,rnd_2,board,n_rounds,score_1,score_2
crowny-vi,0,crowny-vi,0.0125,,10,0.5,0.5
crowny-vi,0.0125,crowny-vi,0,,10,1,0
crowny-vi,0,crowny-vi,0.0125,,10,0.5,0.5
crowny-vi,0.0125,crowny-vi,0,,10,0.5,0.5
crowny-vi,0,crowny-vi,0.0125,,10,0,1
crowny-vi,0.0125,crowny-vi,0,,10,0,1
crowny-vi,0,crowny-vi,0.0125,,10,0.5,0.5
crowny-vi,0.0125,crowny-vi,0,,10,0.5,0.5
crowny-vi,0,crowny-vi,0.0125,,10,1,0
crowny-vi,0.0125,crowny-vi,0,,10,1,0
crowny-vi,0,crowny-vi,0.0125,,10,0.5,0.5
crowny-vi,0.0125,crowny-vi,0,,10,0.5,0.5
crowny-vi,0,crowny-vi,0.0125,,10,0.5,0.5
