player_1,rnd_1,player_2,rnd_2,board,n_rounds,score_1,score_2
crowny-vi,0,crowny-vi,0.025,,5,0,1
crowny-vi,0.025,crowny-vi,0,,5,0.5,0.5
crowny-vi,0,crowny-vi,0.025,,5,0.5,0.5
crowny-vi,0.025,crowny-vi,0,,5,0.5,0.5
crowny-vi,0,crowny-vi,0.025,,5,0,1
crowny-vi,0.025,crowny-vi,0,,5,0.5,0.5
crowny-vi,0,crowny-vi,0.025,,5,0.5,0.5
crowny-vi,0.025,crowny-vi,0,,5,1,0
crowny-vi,0,crowny-vi,0.025,,5,0.5,0.5
crowny-vi,0.025,crowny-vi,0,,5,0.5,0.5
crowny-vi,0,crowny-vi,0.05,,5,0,1
crowny-vi,0.05,crowny-vi,0,,5,1,0
crowny-vi,0,crowny-vi,0.05,,5,0.5,0.5
crowny-vi,0.05,crowny-vi,0,,5,0.5,0.5
crowny-vi,0,crowny-vi,0.05,,5,0.5,0.5
crowny-vi,0.05,crowny-vi,0,,5,1,0
crowny-vi,0,crowny-vi,0.05,,5,0.5,0.5
crowny-vi,0.05,crowny-vi,0,,5,0.5,0.5
crowny-vi,0,crowny-vi,0.05,,5,1,0
crowny-vi,0.05,crowny-vi,0,,5,0.5,0.5
crowny-vi,0,crowny-vi,0.1,,10,1,0
crowny-vi,0.1,crowny-vi,0,,10,0.5,0.5
crowny-vi,0,crowny-vi,0.1,,10,0.5,0.5
crowny-vi,0.1,crowny-vi,0,,10,1,0
crowny-vi,0,crowny-vi,0.1,,10,0,1
crowny-vi,0.1,crowny-vi,0,,10,1,0
crowny-vi,0,crowny-vi,0.1,,10,1,0
crowny-vi,0.1,crowny-vi,0,,10,0.5,0.5
crowny-vi,0,crowny-vi,0.1,,10,1,0
crowny-vi,0.1,crowny-vi,0,,10,0.5,0.5
crowny-vi,0,crowny-vi,0.1,,10,0,1
crowny-vi,0.1,crowny-vi,0,,10,0.5,0.5
crowny-vi,0,crowny-vi,0.1,,10,0.5,0.5
crowny-vi,0.1,crowny-vi,0,,10,0,1
crowny-vi,0,crowny-vi,0.1,,10,0.5,0.5
crowny-vi,0.1,crowny-vi,0,,10,0.5,0.5
crowny-vi,0,crowny-vi,0.1,,10,1,0
crowny-vi,0.1,crowny-vi,0,,10,1,0
crowny-vi,0,crowny-vi,0.1,,10,0,1
crowny-vi,0.1,crowny-vi,0,,10,0.5,0.5
crowny-vi,0,crowny-vi,0.2,,10,0.5,0.5
crowny-vi,0.2,crowny-vi,0,,10,0,1
crowny-vi,0,crowny-vi,0.2,,10,1,0
crowny-vi,0.2,crowny-vi,0,,10,0,1
crowny-vi,0,crowny-vi,0.2,,10,1,0
crowny-vi,0.2,crowny-vi,0,,10,0.5,0.5
crowny-vi,0,crowny-vi,0.2,,10,1,0
crowny-vi,0.2,crowny-vi,0,,10,0,1
crowny-vi,0,crowny-vi,0.2,,10,0,1
crowny-vi,0.2,crowny-vi,0,,10,1,0
crowny-vi,0,crowny-vi,0.2,,10,0.5,0.5
crowny-vi,0.2,crowny-vi,0,,10,0.5,0.5
crowny-vi,0,crowny-vi,0.2,,10,0.5,0.5
crowny-vi,0.2,crowny-vi,0,,10,0.5,0.5
crowny-vi,0,crowny-vi,0.2,,10,0.5,0.5
crowny-vi,0.2,crowny-vi,0,,10,1,0
crowny-vi,0,crowny-vi,0.2,,10,1,0
crowny-vi,0.2,crowny-vi,0,,10,0,1
crowny-vi,0,crowny-vi,0.2,,10,1,0
crowny-vi,0.2,crowny-vi,0,,10,0.5,0.5
